Name,Category,PostalCode,City,Province,Address,Latitude,Longitude
Brome County Museum,museum,J0E 1V0,lac-brome,qc,"130, rue lakeside",45.219408,-72.508559
Brookfield Railway Station And Heritage Society,museum,B0N 1C0,brookfield,ns,68 pleasant valley road brookfield nova scotia b0n 1c0 canada,45.2528876,-63.2835115
Brooks And District Museum And Historical Society,museum,T1R 0K7,brooks,ab,568 sutherland dr e brooks alberta t1r 0k7 canada,50.5670727,-111.8769972
Brownvale North Peace Agricultural Museum,museum,T0H 0L0,brownvale,ab,junction highway 2 and highway 737 brownvale alberta t0h 0l0 canada,..,..
Brubacher House Museum,museum,N2L 3G1,waterloo,on,university of waterloo columbia street waterloo ontario n2l 3g1 canada,43.4763504,-80.55286224
Bruce County Museum & Cultural Centre,museum,N0H 2L0,southampton,on,33 victoria st n po box 180 southampton ontario n0h 2l0 canada,44.4956398,-81.3686585
Bruce Sheppard Ship Yard,museum,N4L 1E1,meaford,on,..,44.60376424,-80.58944079
Bruck Museum,museum,J2K 1J4,cowansville,qc,"225, rue principale",45.20868,-72.741599
Buchans Miners Museum,museum,A0H 1G0,buchans,nl,4 court street buchans newfoundland & labrador a0h 1g0 canada,..,..
Buffalo Nations Luxton Museum,museum,T1L 1A8,banff,ab,1 birch avenue banff alberta t1l 1a8 canada,51.1723077,-115.5732216
Bulkley Valley Historical & Museum Society,museum,V0J 2N0,smithers,bc,1425 main street boc 2615 smithers british columbia v0j 2n0 canada,..,..
Bunker Military Museum The,museum,P0J 1C0,cobalt,on,24 prospect avenue po box 848 cobalt ontario p0j 1c0 canada,47.3963249,-79.6851626
Burgeo Centennial Memorial Museum,museum,A0M 1A0,burgeo,nl,p.o box 220 burgeo newfoundland & labrador a0m 1a0 canada,47.612504,-57.6095399
Burk's Falls & District Museum,museum,P0A 1C0,burk's,on,112 midlothian road burk's falls ontario p0a 1c0 canada,45.62444905,-79.38557067
Burkholder House,museum,..,markham,on,9350 markham rd,43.89341386,-79.26753039
Burlington's Museums,museum,L7S 1C5,burlington,on,1240 north shore boulevard burlington ontario l7s 1c5 canada,43.312155,-79.8191497
Burnaby Village Museum,museum,V5G 3T6,burnaby,bc,6501 deer lake avenue burnaby british columbia v5g 3t6 canada,49.2394477,-122.9672589
Burrough of the Gleann Museum & Archives,museum,R0K 0X0,glenboro,mb,235 broadway st glenboro manitoba r0k 0x0 canada,49.5556462,-99.2910043
Buxton National Historic Site & Museum,museum,N0P 1Y0,buxton,on,21975 a.d. shadd rd north buxton ontario n0p 1y0 canada,42.30606915,-82.2202438
By the Bay Museum,museum,A0G 3A0,lewisporte,nl,235 main street lewisporte newfoundland & labrador a0g 3a0 canada,49.2674445,-55.0285778
Bytown Gunners' Firepower Museum (30th Field Regtiment.),museum,K1A 0K2,ottawa,on,307 deniverville private -site uplands bldg 559 ottawa on k1a 0k2,..,..
Bytown Museum,museum,K1P 1L1,ottawa,on,1 canal ln,45.42604708,-75.69795572
C & E Railway Museum,museum,..,edmonton,ab,10447 86 avenue nw,53.52206619,-113.4974344
C.O. Card Home,museum,T0K 0K0,cardston,ab,337 main street cardston alberta t0k 0k0 canada,49.1741508,-113.4545181
Cabbagetown-Regent Park Museum,museum,M4X 1B8,toronto,on,201 winchester street toronto ontario m4x 1b8 canada,43.6668454,-79.3641548
Caboose,museum,..,markham,on,9350 markham rd,43.89261511,-79.26690364
Cabri And District Museum,museum,S0N 0J0,cabri,sk,202 -1st street south cabri saskatchewan s0n 0j0 canada,..,..
Cadillac Museum,museum,S0N 0K0,cadillac,sk,centre street cadillac saskatchewan s0n 0k0 canada,49.7236528,-107.7393648
Calgary Highlanders Regimental Museum And Archives,museum,T2T 5J4,calgary,ab,the museum of the regiments 4520 crowchild trail sw calgary alberta t2t 5j4 canada,51.01423945,-114.1162943
Calgary Military Museums Society,museum,T2E 8A5,calgary,ab,4629 mccall way ne calgary alberta t2e 8a5 canada,51.09385585,-114.0129894
Calgary Mosquito Society,museum,T1Y 2X7,calgary,ab,1021-3235 56 st ne calgary alberta t1y 2x7 canada,..,..
Callander Bay Heritage Museum,museum,P0H 1H0,callander,on,107 lansdowne st e po box 100 callander ontario p0h 1h0 canada,46.2247018,-79.3575135
Cambridge Fire Museum,museum,..,cambridge,on,..,43.3600316,-80.31194067
Cameron Highlanders Ottawa Regimental Museum,museum,K1A 0K2,ottawa,on,cartier sq drill hall ottawa ontario k1a 0k2 canada,45.42136195,-75.68881752
Campbell Carriage Factory Museum,museum,E4L 1J6,sackville,nb,19 church street sackville new brunswick e4l 1j6 canada,45.9271574,-64.3541386
Campbell House,museum,M5H 3H3,toronto,on,160 queen st w,43.65090189,-79.38715271
Campbell River Maritime Heritage Centre,museum,..,campbell,bc,..,50.01987976,-125.2370241
Campbell River Maritime Heritage Society,museum,V9W 0B7,campbell,bc,621 island highway campbell river british columbia v9w 0b7 canada,50.0326958,-125.2699716
Campbell River Museum,museum,..,campbell,bc,..,50.01530557,-125.2360413
Campobello Public Library And Museum,museum,E0G 3H0,campobello island ,nb,po box 51 welshpool campobello island new brunswick e0g 3h0 canada,44.8903969,-66.9559413
Camrose And District Centennial Museum,museum,T4V 1X6,camrose,ab,4522-53 street camrose alberta t4v 1x6 canada,53.0131084,-112.8321497
Camrose Railway Station Museum & Park,museum,T4V 1X2,camrose,ab,4407 47 ave camrose alberta t4v 1x2 canada,53.0162,-112.8204327
Canada Agriculture And Food Museum,museum,K1G 5A3,ottawa,on,prince of wales drive ottawa ontario k1g 5a3 canada,45.275177,-75.7039356
Canada Agriculture Museum,museum,K1G 5A3,ottawa,on,central experimental farm,45.38522951,-75.71282832
Canada Science And Technology Museum,museum,K1G 5A3,ottawa,on,1867 st laurent blvd,45.40324381,-75.62160964
Canada Science And Technology Museums Corporation,museum,K1G 5A3,ottawa,on,2380 lancaster rd po box 9724 stn t (president's office) ottawa ontario k1g 5a3 canada,..,..
Canada's Aviation Hall of Fame,museum,T9A 2E8,wetaskiwin,ab,po box 6090 wetaskiwin alberta t9a 2e8 canada,52.968492,-113.36792
Canada's Penitentiary Museum,museum,K7L 4Y8,kingston,on,po box 1174 kingston ontario k7l 4y8 canada,44.230687,-76.481323
Canada's Sports Hall of Fame,museum,T3B 6B7,calgary,ab,169 canada olympic rd s w calgary alberta t3b 6b7 canada,..,..
Canadian Agricultural Hall of Fame Association,museum,L7G 4S6,georgetown,on,9102 fifth line georgetown ontario l7g 4s6 canada,43.57129054,-79.89266434
Canadian Air & Space Museum,museum,M3K 2B6,toronto,on,65 carl hall road parc downsview park toronto ontario m3k 2b6 canada,43.746772,-79.479249
Canadian Air And Space Museum,museum,M3J 0H3,york,on,canadian air & space museum po box 70012 1115 lodestar road north york on m3j 0h3,..,..
Canadian Art Museum Directors Organization (Camdo-Odmac),museum,K2P 1R7,ottawa,on,400-280 metcalfe st. ottawa ontario k2p 1r7 canada,45.4157447,-75.6914476
Canadian Automotive Museum,museum,L1H 4G7,oshawa,on,99 simcoe st s oshawa ontario l1h 4g7 canada,43.8949093,-78.8621701
Canadian Aviation Historical Society,museum,T6K 1E7,edmonton,ab,8712 42 ave nw edmonton alberta t6k 1e7 canada,53.47835403,-113.4618585
Canadian Baseball Hall of Fame Museum,museum,N4X 1C2,marys,on,386 church st.s po box 1838 stn main st. marys ontario n4x 1c2 canada,..,..
Canadian Broadcast Museum Foundation,museum,M4W 2K2,..,on,suite ll-1 1000 yonge street suite ll-1 1000 yonge street ontario m4w 2k2 canada,..,..
Canadian Broadcasting Corporation Museum,museum,M5V 3G5,toronto,on,250 front st w,43.64442649,-79.38770643
Canadian Canoe Museum,museum,K9J 5K4,peterborough,on,910 monaghan rd peterborough ontario k9j 5k4 canada,44.2880728,-78.33029842
Canadian Children's Museum,museum,J8X 4H2,gatineau,qc,"100, rue laurier",45.428957,-75.708926
Canadian Civil Defence Museum Association,museum,T6L 5L9,edmonton,ab,#301 4055 -26 avenue nw edmonton alberta t6l 5l9 canada,..,..
Canadian Clock Museum The,museum,K0J 1P0,deep,on,60 james st deep river ontario k0j 1p0 canada,46.106151,-77.5077378
Canadian Drilling Rig Museum Inc.,museum,N0A 1P0,selkirk,on,259 kohler road selkirk ontario n0a 1p0 canada,42.81933883,-79.90449335
Canadian Fire Fighters Museum,museum,L1A 3W4,port hope,on,95 mill st port hope ontario l1a 3w4 canada,44.036115,-78.3932448
Canadian Fly Fishing Museum Inc.,museum,J0E 2N0,waterloo,qc,650 de la cour waterloo quÈbec j0e 2n0 canada,45.3433515,-72.5140845
Canadian Football Hall of Fame,museum,..,hamilton,on,..,43.25182544,-79.83122957
Canadian Football Hall of Fame & Museum,museum,L8P 1L4,hamilton,on,58 jackson st w hamilton ontario l8p 1l4 canada,43.2552007,-79.8730366
Canadian Forces Airborne Museum,museum,K8H 2X3,petawawa,on,63 colborne road cfb petawawa po box 9999 stn main petawawa on k8h 2x3,..,..
Canadian Forces Logistics Museum,museum,H1N 3R9,montrÈal,qc,6560 hochelaga street montrÈal quÈbec h1n 3r9 canada,45.5421326,-73.5476297
Canadian Forces Museum of Aerospace Defence,museum,P0H 1P0,north bay,on,22 wing north bay hornell heights ontario p0h 1p0 canada,..,..
Canadian Fossil Discovery Centre,museum,R6M 1N9,morden,mb,111-b gilmour st morden manitoba r6m 1n9 canada,49.1965263,-98.1114681
Canadian Golf Hall of Fame And Museum,museum,L6M 4G2,oakville,on,1333 dorval dr oakville ontario l6m 4g2 canada,43.448391,-79.7127762
Canadian Grenadier Guards Regimental Museum,museum,H2W 1S9,montrÈal,qc,4171 de l'esplanade ave montrÈal qc h2w 1s9,45.5162674,-73.5831018
Canadian Historical Aircraft Association,museum,N8V 1A1,windsor,on,104-2600 airport road windsor ontario n8v 1a1 canada,42.2675679,-82.9707886
Canadian Lacrosse Hall of Fame & Museum,museum,V3M 1B6,new-westminster,bc,777 columbia street new westminster british columbia v3m 1b6 canada,49.2016302,-122.9117763
Canadian Language Museum,museum,M5R 2X9,toronto,on,150 walmer road toronto ontario m5r 2x9 canada,43.67322255,-79.4078422
Canadian Medical Hall of Fame The,museum,N6A 1H2,london,on,202-267 dundas street london ontario n6a 1h2 canada,42.98471,-81.2454562
Canadian Military Engineers Museum,museum,E2V 4J5,oromocto,nb,mitchell building cfb gagetown oromocto new brunswick e2v 4j5 canada,..,..
Canadian Military Heritage Museum,museum,S7J 3L1,saskatoon,sk,3021 louise street saskatoon saskatchewan s7j 3l1 canada,52.10190765,-106.6071475
Canadian Military Heritage Museum of Brant County,museum,N3R 7X5,brantford,on,347 greenwich street building 19 brantford ontario n3r 7x5 canada,43.1315581,-80.2511113
Canadian Military Studies Museum,museum,L0P 1H0,limehouse,on,11639-22nd side road limehouse ontario l0p 1h0 canada,43.6576443,-79.9498959
Canadian Multicultural Inventors Museum,museum,M1G 1J5,scarborough,on,862 scarborough golf club road scarborough ontario m1g 1j5 canada,43.77088768,-79.21929776
Canadian Museum Flight Association,museum,..,township of langley,bc,..,49.09920599,-122.6260122
Canadian Museum For Human Rights,museum,R3C 0L5,winnipeg,mb,85 israel asper way winnipeg manitoba r3c 0l5 canada,49.8906466,-97.13107756
Canadian Museum of Carpets And Textiles,museum,M5G 2H5,toronto,on,55 centre avenue toronto ontario m5g 2h5 canada,43.6544937,-79.3866913
Canadian Museum of Civilization,museum,..,gatineau,on,..,45.42919052,-75.7089802
Canadian Museum of Civilization IMAX,museum,..,gatineau,on,..,45.42931525,-75.70879954
Canadian Museum of Flight Association,museum,V2Y 2N3,langley,bc,hangar #3-5333 216th street langley british columbia v2y 2n3 canada,..,..
Canadian Museum of History,museum,K1A 0M8,gatineau,qc,"100, rue laurier",45.429538,-75.709473
"Canadian Museum of History (Canadian Children's Museum, Canadian Postal Museum And IMAX Theatre)",museum,J8X 4H2,gatineau,qc,"100, rue laurier",45.42942,-75.71019
Canadian Museum of Immigration At Pier 21,museum,B3H 4P7,halifax,ns,1055 marginal road halifax nova scotia b3h 4p7 canada,44.6386091,-63.56518153
Canadian Museum of Indian Civilization Inc.,museum,L4C 6Z4,richmond,on,8640 yonge st richmond hill ontario l4c 6z4 canada,43.834586,-79.4290184
Canadian Museum of Nature,museum,K2P 2R1,ottawa,on,240 mcleod st,45.41262591,-75.68893044
Canadian Museum of Rail Travel -Cranbrook,museum,V1C 4H9,cranbrook,bc,1 van horne st.s cranbrook british columbia v1c 4h9 canada,49.5116964,-115.7717684
Canadian Music Centre (BC Region),museum,V6Z 1B7,vancouver,bc,837 davie st vancouver bc v6z 1b7,49.278055,-123.127484
Canadian Potato Museum,museum,C0B 1V0,o'leary,pe,1 dewar lane o'leary prince edward island c0b 1v0 canada,46.7035187,-64.234657
Canadian Scottish Regiment (Princess Mary`S) Regimental Museum,museum,V8T 1R1,victoria,bc,bay st armoury 715 bay st-room 312 victoria british columbia v8t 1r1 canada,..,..
Canadian Ski Museum The,museum,H9S 4L6,pointe claire,qc,317 chemin du bord-du-lac pointe-claire quÈbec h9s 4l6 canada,45.4288476,-73.8269023
Canadian Transportation Museum And Heritage Village,museum,N9Y 2E5,kingsville,on,6155 arner townline county rd 23 kingsville ontario n9y 2e5 canada,..,..
Canadian War Museum,museum,K1A 0M8,ottawa,on,1 vimy place ottawa ontario k1a 0m8 canada,45.4171217,-75.71663422
Canadian Warplane Heritage Museum,museum,L0R 1W0,hamilton,on,"9280 airport rd. hamilton,on l0r 1w0",43.15986821,-79.92499482
Canmore Museum & Geoscience Centre,museum,T1W 3K1,canmore,ab,902b -7th avenue p.o box 8849 canmore alberta t1w 3k1 canada,51.0897772,-115.3603695
Cannington Centennial Museum,museum,L0E 1E0,cannington,on,80 peace street/macleod park cannington ontario l0e 1e0 canada,..,..
Canora Ukrainian Orthodox Heritage Church,museum,S0A 0L0,canora,sk,710 main street canora saskatchewan s0a 0l0 canada,51.6306617,-102.4391119
Cape Breton Miners Museum,museum,B1A 5T8,glace,ns,17 museum street glace bay nova scotia b1a 5t8 canada,46.1930182,-59.94193455
Cape Jourimain Nature Centre Inc.,museum,E4M 3Z8,bayfield,nb,5039 route 16 bayfield new brunswick e4m 3z8 canada,..,..
Cape Ray Lightkeeper's House Museum And Crafts,museum,A0N 1C0,cape ray,nl,lighthouse road p.o box 10 cape ray newfoundland & labrador a0n 1c0 canada,46.6610695,-53.0751169
Car Life Museum,museum,C1A 6T6,charlottetown,pe,45 oak dr charlottetown prince edward island c1a 6t6 canada,46.27231894,-63.10277623
Carberry Plains Museum,museum,R0K 0H0,carberry,mb,520 -4th avenue carberry manitoba r0k 0h0 canada,49.8708406,-99.3609502
Carbonear Museum,museum,A1Y 1C3,carbonear,nl,p.o. box 808 carbonear newfoundland & labrador a1y 1c3 canada,47.733123,-53.2366225
Carillon Canal National Historic Site,museum,J0V 1X0,d'argenteuil,qc,"230, rue du barrage",45.567249,-74.378386
Carleton County Historical Society Inc.,museum,E7M 1L5,woodstock,nb,128 connell street woodstock new brunswick e7m 1l5 canada,46.1596424,-67.5917318
Carleton Place And Beckwith Heritage Museum,museum,K7C 3E8,carleton,on,267 edmund street carleton place ontario k7c 3e8 canada,45.1432321,-76.146935
